GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Rate(%),Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Filing Date,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date,
07AAJCA9880A1ZL,AMAZON WEB SERVICES INDIA PRIVATE LIMITED,AIN2223002926993,Regular,02/01/2023,828041.56,Delhi,No,18,701730.14,0.00,63155.71,63155.71,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,00662f9a078340fbaa2e2da8a77ff5038bb4ae204830db4f3f459d09d55027ce,02/01/2023,
07AAJCA9880A1ZL,AMAZON WEB SERVICES INDIA PRIVATE LIMITED,AIN2223003070485,Regular,03/01/2023,280860.07,Delhi,No,18,238017.01,0.00,21421.53,21421.53,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,2b49ee393af239058447d99397ee16b23d92e7a2341316bb8852ea02ca516748,03/01/2023,
06AABCF5150G1ZZ,FACEBOOK INDIA ONLINE SERVICES PRIVATE LIMITED,2380242437,Regular,01/01/2023,282819.71,Delhi,No,18,239677.72,43141.99,0.00,0.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,92f17e294a2d0d1c9e36ecdc08aac944a8c96df5568bfc249ddffa6ba79b9bfa,02/01/2023,
29CFFPK4980K1ZU,AUTOMATE SMB ENTERPRISES,INV1191,Regular,09/01/2023,424.80,Delhi,No,18,360.00,64.80,0.00,0.00,0.00,Jan'23,09/02/2023,Yes,,100%,,,,khushboo
07AAXCS3963N1ZA,SPONSIFYME TECHNOLOGIES PRIVATE LIMITED,EL-6292,Regular,30/01/2023,6488.82,Uttar Pradesh,No,18,5499.00,989.82,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,,,,Bills available but place of supply is up and gst no. is delhi
27AAGCT2085F1ZA,TECHNOOYSTER PRIVATE LIMITED,2999,Regular,09/11/2022,684.00,Delhi,No,18,580.00,104.40,0.00,0.00,0.00,Dec'22,31/01/2023,Yes,,100%,,,,
06AAECH7940R1ZX,HOLISTIK DIGITAL SOLUTIONS PRIVATE LIMITED,2022-23/46,Regular,03/01/2023,118000.00,Delhi,No,18,100000.00,18000.00,0.00,0.00,0.00,Jan'23,08/02/2023,Yes,,100%,,,,
07AAECN3926D2ZN,NXTRA DATA LIMITED,FBND0723B1204,Regular,23/01/2023,61792.67,Delhi,No,18,52366.67,0.00,4713.00,4713.00,0.00,Jan'23,09/02/2023,Yes,,100%,,,,
07AAECN3926D2ZN,NXTRA DATA LIMITED,FBND0723B1205,Regular,23/01/2023,5034.67,Delhi,No,18,4266.67,0.00,384.00,384.00,0.00,Jan'23,09/02/2023,Yes,,100%,,,,
07AAECN3926D2ZN,NXTRA DATA LIMITED,FBND0723B1206,Regular,23/01/2023,4867.50,Delhi,No,18,4125.00,0.00,371.25,371.25,0.00,Jan'23,09/02/2023,Yes,,100%,,,,
07AAECN3926D2ZN,NXTRA DATA LIMITED,FBND0723B1207,Regular,23/01/2023,3709.44,Delhi,No,18,3143.60,0.00,282.92,282.92,0.00,Jan'23,09/02/2023,Yes,,100%,,,,
07AAECN3926D2ZN,NXTRA DATA LIMITED,FBND0723B1208,Regular,23/01/2023,4833.07,Delhi,No,18,4095.83,0.00,368.62,368.62,0.00,Jan'23,09/02/2023,Yes,,100%,,,,
07AAFFE9506N1Z1,ENQODLE,ENQINV-100687,Regular,09/12/2022,4425.00,Delhi,No,18,3750.00,0.00,337.50,337.50,0.00,Dec'22,16/01/2023,Yes,,100%,,,,
24AACCI3501P1ZN,INFIBEAM AVENUES LIMITED,IA0120230000667,Regular,31/01/2023,122478.04,Delhi,No,18,103794.95,18683.09,0.00,0.00,0.00,Jan'23,10/02/2023,Yes,,100%,E-Invoice,8172a62894230c58807837b77e61404637b2739946191cef2ee8dd92d0fbe6fc,03/02/2023,
09JZYPS8040A1ZN,TECHNO ACTIVE,1332,Regular,15/01/2023,1768.82,Delhi,No,18,1499.00,269.82,0.00,0.00,0.00,Jan'23,10/02/2023,Yes,,100%,,,,
06AAMFT8352J1ZN,TRUECALLER INTERNATIONAL LLP,1440622230733,Regular,13/01/2023,113053.44,Delhi,No,18,95808.00,17245.44,0.00,0.00,0.00,Jan'23,11/02/2023,Yes,,100%,,,,
27AAOFN7392N1Z9,NEXTGENT INFRATECH SOLUTIONS LLP,NXG/11/22/92,Regular,20/12/2022,137288.28,Delhi,No,18,116346.00,20942.28,0.00,0.00,0.00,Dec'22,21/01/2023,Yes,,100%,,,,
27AAOFN7392N1Z9,NEXTGENT INFRATECH SOLUTIONS LLP,NXG/11/22/98,Regular,09/12/2022,256060.00,Delhi,No,18,217000.00,39060.00,0.00,0.00,0.00,Dec'22,21/01/2023,Yes,,100%,,,,
